id,option_label_nl,option_label_en
opt-afbraakwerken-101-1-anders,Anders,Other
opt-afbraakwerken-101-1-appartementencomplex,Appartementencomplex,Appartementencomplex
opt-afbraakwerken-101-1-bedrijfspand,Bedrijfspand,Bedrijfspand
opt-afbraakwerken-101-1-woning,Woning,Woning
opt-afbraakwerken-101-2-groot_3001000_m,Groot (300–1000 m²),Large (300–1000 m²)
opt-afbraakwerken-101-2-klein_100_m,Klein (\<100 m²),Small (\<100 m²)
opt-afbraakwerken-101-2-middel_100300_m,Middel (100–300 m²),Medium (100–300 m²)
opt-afbraakwerken-101-2-zeer_groot_1000_m,Zeer groot (1000+ m²),Very large (1000+ m²)
opt-afbraakwerken-101-3-ja,Ja,Yes
opt-afbraakwerken-101-3-nee,Nee,No
opt-afbraakwerken-102-1-aanbouw,Aanbouw,Aanbouw
opt-afbraakwerken-102-1-anders,Anders,Other
opt-afbraakwerken-102-1-dakkapel,Dakkapel,Dakkapel
opt-afbraakwerken-102-1-garage,Garage,Garage
opt-afbraakwerken-102-2-handmatig,Handmatig,Handmatig
opt-afbraakwerken-102-2-machinaal,Machinaal,Machinaal
opt-afbraakwerken-102-2-weet_ik_niet,Weet ik niet,I do not know
opt-afbraakwerken-103-1-anders,Anders,Other
opt-afbraakwerken-103-1-binnenmuren,Binnenmuren,Indoormuren
opt-afbraakwerken-103-1-plafonds,Plafonds,Plafonds
opt-afbraakwerken-103-1-vloeren,Vloeren,Vloeren
opt-afbraakwerken-103-2-groot_50100_m,Groot (50–100 m²),Large (50-100 sqm)
opt-afbraakwerken-103-2-klein_tot_20_m,Klein (tot 20 m²),Small (up to 20 sqm)
opt-afbraakwerken-103-2-middel_2050_m,Middel (20–50 m²),Medium (20-50 sqm)
opt-afbraakwerken-103-2-zeer_groot_100_m,Zeer groot (100+ m²),Very large (100+ sqm)
opt-afbraakwerken-104-1-anders,Anders,Other
opt-afbraakwerken-104-1-garage,Garage,Garage
opt-afbraakwerken-104-1-schoorsteen,Schoorsteen,Schoorsteen
opt-afbraakwerken-104-1-schuur,Schuur,Schuur
opt-afbraakwerken-104-1-tuinhuis,Tuinhuis,Gardenhuis
opt-afbraakwerken-104-2-ja,Ja,Yes
opt-afbraakwerken-104-2-nee,Nee,No
opt-airco-201-1-mobiele_airco,Mobiele airco,Mobile air conditioning
opt-airco-201-1-multi_split,Multi-split,Multi-split
opt-airco-201-1-split_unit,Split-unit,Split-unit
opt-airco-201-1-weet_ik_nog_niet,Weet ik nog niet,I do not know yet
opt-airco-201-2-appartement,Appartement,Apartment
opt-airco-201-2-kantoor_bedrijfspand,Kantoor/bedrijfspand,Office/commercial building
opt-airco-201-2-rijtjeshuis,Rijtjeshuis,Terraced house
opt-airco-201-2-vrijstaande_woning,Vrijstaande woning,Detached house
opt-airco-201-3-1,1,1
opt-airco-201-3-2_3,2–3,2-3
opt-airco-201-3-4_5,4–5,4-5
opt-airco-201-3-meer_dan_5,Meer dan 5,More than 5
opt-airco-202-1-binnenunits,Binnenunit(s),Indoor unit(s)
opt-airco-202-1-buitenunit,Buitenunit,Outdoor unit
opt-airco-202-1-complete_installatie,Complete installatie,Complete installation
opt-airco-202-2-betere_energie_efficientie,Betere energie-efficiëntie,Better energy efficiency
opt-airco-202-2-defect,Defect,Defective
opt-airco-202-2-verouderd,Verouderd,Outdated
opt-airco-202-3-ja,Ja,Yes
opt-airco-202-3-nee,Nee,No
opt-airco-203-1-airco_geeft_storing_errorcode,Airco geeft storing / errorcode,Air conditioning shows error/error code
opt-airco-203-1-airco_koelt_niet,Airco koelt niet,Air conditioning does not cool
opt-airco-203-1-airco_lekt_water,Airco lekt water,Air conditioning leaks water
opt-airco-203-1-airco_maakt_lawaai,Airco maakt lawaai,Air conditioning makes noise
opt-airco-203-1-anders,Anders,Other
opt-airco-203-2-0_5_jaar,0–5 jaar,0-5 years
opt-airco-203-2-10_20_jaar,10–20 jaar,10-20 years
opt-airco-203-2-5_10_jaar,5–10 jaar,5-10 years
